Code,Quantity,Variant
102383107,50,
10287,50,
103177681,50,
104558697,50,
106180980,50,
106365661,50,
115755333,50,
118620335,50,
12364,50,
12365,50,
124437787,50,
12597,50,
134700223,50,
138165196,50,
143532665,50,
144209563,50,
152085385,50,
155484290,50,
172865419,50,
175450702,50,
179940996,50,
181144980,50,
185462533,50,
190792801,50,
191583400,50,
194671774,50,
199008972,50,
199062700,50,
20140,50,
20320,50,
203957873,50,
222578209,50,
222917801,50,
224628610,50,
226426570,50,
227683163,50,
241717519,50,
254696426,50,
261062088,50,
263705093,50,
267797407,50,
271215829,50,
274146298,50,
276871122,50,
285565091,50,
294011710,50,
295503253,50,
298348321,50,
299949738,50,
307460474,50,
31030,50,
31478,50,
31555,50,
319344462,50,
3210,50,
32164,50,
32411,50,
32457,50,
327911920,50,
33214,50,
340158959,50,
347588638,50,
349258757,50,
35246,50,
35454,50,
357271763,50,
358503877,50,
359329830,50,
360012004,50,
363089450,50,
368496741,50,
375209312,50,
379805332,50,
390767843,50,
393188718,50,
397357294,50,
399043874,50,
399200734,50,
400079220,50,
404743047,50,
407122961,50,
409458620,50,
418403077,50,
423839105,50,
427276241,50,
431977654,50,
440051559,50,
440897873,50,
441156985,50,
443973072,50,
446356180,50,
45976,50,
462152151,50,
463415699,50,
463654831,50,
476987960,50,
478388662,50,
482694832,50,
486717694,50,
488156638,50,
495919404,50,
498889066,50,
499457363,50,
501221048,50,
508020438,50,
508969046,50,
512594426,50,
515740217,50,
54372941,50,
548995017,50,
550484339,50,
552962791,50,
555344521,50,
563273768,50,
573714336,50,
574385569,50,
576950343,50,
577199494,50,
582228722,50,
589698693,50,
593560841,50,
594915335,50,
598993613,50,
603075187,50,
610688417,50,
622254068,50,
624939169,50,
63254,50,
635512227,50,
63574,50,
638425324,50,
64565,50,
64632,50,
64669,50,
650013954,50,
654785,50,
65485,50,
664507138,50,
670999670,50,
672548071,50,
676013044,50,
679212102,50,
690847063,50,
692335847,50,
694658587,50,
711782987,50,
717164462,50,
717234086,50,
719988632,50,
721263041,50,
724836732,50,
742024663,50,
744794606,50,
749353304,50,
750940667,50,
758777022,50,
763328856,50,
769694518,50,
769995664,50,
772389724,50,
778965,50,
780070389,50,
785413781,50,
795143631,50,
801324612,50,
804200410,50,
820637780,50,
833079523,50,
838872696,50,
842168643,50,
843810452,50,
845982537,50,
849594881,50,
852890672,50,
874556788,50,
876412155,50,
878584284,50,
881975648,50,
885929286,50,
888020015,50,
888200649,50,
888380292,50,
889106967,50,
893177124,50,
896596305,50,
911412037,50,
916272970,50,
922191577,50,
922570507,50,
928271434,50,
930756606,50,
930855679,50,
933733183,50,
93524,50,
940353977,50,
945059507,50,
954829411,50,
956242328,50,
960432031,50,
962648444,50,
96352,50,
969047964,50,
977246092,50,
980824727,50,
985524565,50,
986862739,50,
992489263,50,
993702462,50,
