Code,Quantity,Variant
102383107,10,
10287,10,
103177681,10,
104558697,10,
106180980,10,
106365661,10,
115755333,10,
118620335,10,
12364,10,
12365,10,
124437787,10,
12597,10,
134700223,10,
138165196,10,
143532665,10,
144209563,10,
152085385,10,
155484290,10,
172865419,10,
175450702,10,
179940996,10,
181144980,10,
185462533,10,
190792801,10,
191583400,10,
194671774,10,
199008972,10,
199062700,10,
20140,10,
20320,10,
203957873,10,
222578209,10,
222917801,10,
224628610,10,
226426570,10,
227683163,10,
241717519,10,
254696426,10,
261062088,10,
263705093,10,
267797407,10,
271215829,10,
274146298,10,
276871122,10,
285565091,10,
294011710,10,
295503253,10,
298348321,10,
299949738,10,
307460474,10,
31030,10,
31478,10,
31555,10,
319344462,10,
3210,10,
32164,10,
32411,10,
32457,10,
327911920,10,
33214,10,
340158959,10,
347588638,10,
349258757,10,
35246,10,
35454,10,
357271763,10,
358503877,10,
359329830,10,
360012004,10,
363089450,10,
368496741,10,
375209312,10,
379805332,10,
390767843,10,
393188718,10,
397357294,10,
399043874,10,
399200734,10,
400079220,10,
404743047,10,
407122961,10,
409458620,10,
418403077,10,
423839105,10,
427276241,10,
431977654,10,
440051559,10,
440897873,10,
441156985,10,
443973072,10,
446356180,10,
45976,10,
462152151,10,
463415699,10,
463654831,10,
476987960,10,
478388662,10,
482694832,10,
486717694,10,
488156638,10,
495919404,10,
498889066,10,
499457363,10,
501221048,10,
508020438,10,
508969046,10,
512594426,10,
515740217,10,
54372941,10,
548995017,10,
550484339,10,
552962791,10,
555344521,10,
563273768,10,
573714336,10,
574385569,10,
576950343,10,
577199494,10,
582228722,10,
589698693,10,
593560841,10,
594915335,10,
598993613,10,
603075187,10,
610688417,10,
622254068,10,
624939169,10,
63254,10,
635512227,10,
63574,10,
638425324,10,
64565,10,
64632,10,
64669,10,
650013954,10,
654785,10,
65485,10,
664507138,10,
670999670,10,
672548071,10,
676013044,10,
679212102,10,
690847063,10,
692335847,10,
694658587,10,
711782987,10,
717164462,10,
717234086,10,
719988632,10,
721263041,10,
724836732,10,
742024663,10,
744794606,10,
749353304,10,
750940667,10,
758777022,10,
763328856,10,
769694518,10,
769995664,10,
772389724,10,
778965,10,
780070389,10,
785413781,10,
795143631,10,
801324612,10,
804200410,10,
820637780,10,
833079523,10,
838872696,10,
842168643,10,
843810452,10,
845982537,10,
849594881,10,
852890672,10,
874556788,10,
876412155,10,
878584284,10,
881975648,10,
885929286,10,
888020015,10,
888200649,10,
888380292,10,
889106967,10,
893177124,10,
896596305,10,
911412037,10,
916272970,10,
922191577,10,
922570507,10,
928271434,10,
930756606,10,
930855679,10,
933733183,10,
93524,10,
940353977,10,
945059507,10,
954829411,10,
956242328,10,
960432031,10,
962648444,10,
96352,10,
969047964,10,
977246092,10,
980824727,10,
985524565,10,
986862739,10,
992489263,10,
993702462,10,
