Code,Quantity,Variant,
1964,1000,,
1965,1000,,
1966,1000,,
1967,1000,,
1968,1000,,
1969,1000,,
1970,1000,,
1971,1000,,
1972,1000,,
1973,1000,,
1974,1000,,
1975,1000,,
1976,1000,,
1977,1000,,
1978,1000,,
1979,1000,,
1980,1000,,
1981,1000,,
1982,1000,,
1983,1000,,
1984,1000,,
1985,1000,,
1986,1000,,
1987,1000,,
1988,1000,,
1989,1000,,
1990,1000,,
1991,1000,,
1992,1000,,
2298250,1000,,
2914811,1000,,
3374515,1000,,
3730237,1000,,
4225135,1000,,
4839735,1000,,
5707439,1000,,
5974860,1000,,
6019546,1000,,
6249784,1000,,
8011922,1000,,
8144496,1000,,
9574697,1000,,
102383107,1000,,
10287,1000,,
103177681,1000,,
10321917,1000,,
104558697,1000,,
10488612,1000,,
10595736,1000,,
106180980,1000,,
106365661,1000,,
11253088,1000,,
11454398,1000,,
115755333,1000,,
118620335,1000,,
12364,1000,,
12365,1000,,
124437787,1000,,
12597,1000,,
12721947,1000,,
12909599,1000,,
13395291,1000,,
134700223,1000,,
138165196,1000,,
13925770,1000,,
14279486,1000,,
143532665,1000,,
144209563,1000,,
14881695,1000,,
14970895,1000,,
152085385,1000,,
155484290,1000,,
15973951,1000,,
16650306,1000,,
172865419,1000,,
17355363,1000,,
17460849,1000,,
175450702,1000,,
179940996,1000,,
18042259,1000,,
181144980,1000,,
18459786,1000,,
185462533,1000,,
18871524,1000,,
18966862,1000,,
19060877,1000,,
190792801,1000,,
191583400,1000,,
19353552,1000,,
194671774,1000,,
19621317,1000,,
19752221,1000,,
199008972,1000,,
19904964,1000,,
199062700,1000,,
19952636,1000,,
20140,1000,,
20320,1000,,
20346109,1000,,
203957873,1000,,
20799002,1000,,
21952805,1000,,
222578209,1000,,
222917801,1000,,
224628610,1000,,
226426570,1000,,
227683163,1000,,
23209262,1000,,
23869734,1000,,
241717519,1000,,
24491851,1000,,
24787563,1000,,
25042316,1000,,
254696426,1000,,
25528276,1000,,
261062088,1000,,
26148678,1000,,
263705093,1000,,
267797407,1000,,
26802026,1000,,
271215829,1000,,
274146298,1000,,
27462988,1000,,
276871122,1000,,
28279645,1000,,
285565091,1000,,
29135682,1000,,
294011710,1000,,
295503253,1000,,
29830141,1000,,
298348321,1000,,
299949738,1000,,
307460474,1000,,
31030,1000,,
31478,1000,,
31516222,1000,,
31555,1000,,
31811441,1000,,
319344462,1000,,
31980755,1000,,
3210,1000,,
32164,1000,,
32411,1000,,
32457,1000,,
32782502,1000,,
327911920,1000,,
32912735,1000,,
33214,1000,,
33380532,1000,,
33442871,1000,,
340158959,1000,,
34739077,1000,,
347588638,1000,,
349258757,1000,,
35246,1000,,
35369224,1000,,
35454,1000,,
35645869,1000,,
357271763,1000,,
35836666,1000,,
358503877,1000,,
359329830,1000,,
360012004,1000,,
36277142,1000,,
36288391,1000,,
363089450,1000,,
368496741,1000,,
375209312,1000,,
379805332,1000,,
38064940,1000,,
38284735,1000,,
390767843,1000,,
39135396,1000,,
393188718,1000,,
397357294,1000,,
399043874,1000,,
399200734,1000,,
400079220,1000,,
40353362,1000,,
404743047,1000,,
40639346,1000,,
407122961,1000,,
409458620,1000,,
418403077,1000,,
423839105,1000,,
42585228,1000,,
427276241,1000,,
431977654,1000,,
43692738,1000,,
440051559,1000,,
440897873,1000,,
441156985,1000,,
44389502,1000,,
443973072,1000,,
